Date,Adjusted,Asylum support payment (£)
2005-12-01,Inflation-adjusted,49.860583016476554
2005-12-01,Nominal,39.34
2006-01-01,Inflation-adjusted,50.11464968152867
2006-01-01,Nominal,39.34
2006-02-01,Inflation-adjusted,49.92385786802031
2006-02-01,Nominal,39.34
2006-03-01,Inflation-adjusted,49.860583016476554
2006-03-01,Nominal,39.34
2006-04-01,Inflation-adjusted,50.65491183879093
2006-04-01,Nominal,40.22
2006-05-01,Inflation-adjusted,50.33792240300375
2006-05-01,Nominal,40.22
2006-06-01,Inflation-adjusted,50.212234706616734
2006-06-01,Nominal,40.22
2006-07-01,Inflation-adjusted,50.275
2006-07-01,Nominal,40.22
2006-08-01,Inflation-adjusted,50.024875621890544
2006-08-01,Nominal,40.22
2006-09-01,Inflation-adjusted,49.962732919254655
2006-09-01,Nominal,40.22
2006-10-01,Inflation-adjusted,49.90074441687345
2006-10-01,Nominal,40.22
2006-11-01,Inflation-adjusted,49.77722772277228
2006-11-01,Nominal,40.22
2006-12-01,Inflation-adjusted,49.47109471094711
2006-12-01,Nominal,40.22
2007-01-01,Inflation-adjusted,49.90074441687345
2007-01-01,Nominal,40.22
2007-02-01,Inflation-adjusted,49.654320987654316
2007-02-01,Nominal,40.22
2007-03-01,Inflation-adjusted,49.4103194103194
2007-03-01,Nominal,40.22
2007-04-01,Inflation-adjusted,50.747549019607845
2007-04-01,Nominal,41.41
2007-05-01,Inflation-adjusted,50.62347188264059
2007-05-01,Nominal,41.41
2007-06-01,Inflation-adjusted,50.5
2007-06-01,Nominal,41.41
2007-07-01,Inflation-adjusted,50.809815950920246
2007-07-01,Nominal,41.41
2007-08-01,Inflation-adjusted,50.62347188264059
2007-08-01,Nominal,41.41
2007-09-01,Inflation-adjusted,50.56166056166055
2007-09-01,Nominal,41.41
2007-10-01,Inflation-adjusted,50.31591737545565
2007-10-01,Nominal,41.41
2007-11-01,Inflation-adjusted,50.193939393939395
2007-11-01,Nominal,41.41
2007-12-01,Inflation-adjusted,49.89156626506024
2007-12-01,Nominal,41.41
2008-01-01,Inflation-adjusted,50.25485436893203
2008-01-01,Nominal,41.41
2008-02-01,Inflation-adjusted,49.89156626506024
2008-02-01,Nominal,41.41
