Country of origin,Number of people supported
Iran,2316
Iraq,1848
Afghanistan,1657
Eritrea,1630
Syria,1541
Sudan,1383
Ukraine,1290
Kuwait,631
Nigeria,530
Pakistan,460
Ethiopia,368
Somalia,328
Albania,308
Yemen,285
Namibia,264
Egypt,253
Bangladesh,224
India,219
Zimbabwe,202
"Congo, Dem Rep of (DRC)",191
El Salvador,175
Sri Lanka,162
Libya,150
Algeria,134
Ghana,123
Palestine,115
United Kingdom,115
Vietnam,114
Cameroon,110
Turkey,102
