Category,Nationality,Voluntary returns,Enforced returns,Refused entry at port and subsequently departed
Asylum-related,Albania,839,401,32
Asylum-related,Iraq,200,20,5
Asylum-related,India,173,29,15
Asylum-related,El Salvador,160,3,1
Asylum-related,Pakistan,114,20,4
Asylum-related,Honduras,77,0,16
Asylum-related,Iran,78,4,3
Asylum-related,China,80,2,2
Asylum-related,Brazil,31,46,6
Asylum-related,Vietnam,33,30,1
Asylum-related,Other,697,156,76
