Category,Nationality,Voluntary returns,Enforced returns,Refused entry at port and subsequently departed
Asylum-related,Albania,1618,1100,31
Asylum-related,India,248,54,18
Asylum-related,Iraq,177,25,6
Asylum-related,Pakistan,121,28,7
Asylum-related,El Salvador,143,1,1
Asylum-related,Brazil,75,56,7
Asylum-related,China,117,13,1
Asylum-related,Honduras,115,0,12
Asylum-related,Iran,78,4,1
Asylum-related,Bangladesh,63,10,2
Asylum-related,Other,906,177,69
