Financial Year,Productivity
2011/12,13.7
2012/13,12.6
2013/14,15.7
2014/15,16.669926650366747
2015/16,18.164102564102564
2016/17,12.714497041420119
2017/18,8
2018/19,8.76634768740032
2019/20,6.83249581239531
2020/21,4.073333333333333
2021/22,5.140065146579804
2022/23,5.379883427851292
