Nationality,More than 6 months,6 months or less
Iran,13335,3156
Iraq,14159,2109
Afghanistan,9132,5274
Albania,12066,1643
Bangladesh,7304,2137
Pakistan,6213,2395
India,4807,1821
Sudan,3535,2151
Turkey,2726,2825
Syria,3546,1897
Eritrea,2749,2477
Nigeria,3028,537
Vietnam,2408,1139
Sri Lanka,2532,925
China,2781,633
Egypt,1788,743
Georgia,1812,718
Honduras,2071,247
Brazil,1117,839
Namibia,1627,280
