Country of origin,Number of people supported
Iran,2557
Iraq,2022
Afghanistan,1978
Eritrea,1853
Syria,1729
Sudan,1666
Ukraine,1375
Kuwait,738
Nigeria,575
Pakistan,507
Namibia,404
Ethiopia,390
Somalia,362
Albania,314
Yemen,302
Egypt,292
India,256
Bangladesh,242
El Salvador,201
Zimbabwe,197
"Congo, Dem Rep of (DRC)",191
Sri Lanka,166
Libya,160
United Kingdom,144
Algeria,137
Ghana,136
Palestine,134
Cameroon,129
Turkey,122
Vietnam,122
