Nationality,People arriving via small boat and claiming asylum,People arriving via other routes and claiming asylum,Family reunion visas granted,People resettled
Afghanistan,7673,4219,351,70
Iran,4524,4438,676,9
Albania,8606,-2416,4,0
Syria,2297,1756,1197,322
India,1441,3978,7,0
Iraq,3216,1898,72,53
Eritrea,1613,2326,1030,12
Pakistan,155,4415,140,22
Bangladesh,5,4702,24,0
Sudan,1480,2113,618,70
