Category,Nationality,Type,Age,Sex
Syria,440,Nationality,NA,NA
Afghanistan,310,Nationality,NA,NA
Sudan,145,Nationality,NA,NA
Iraq,109,Nationality,NA,NA
Refugee,55,Nationality,NA,NA
Pakistan,37,Nationality,NA,NA
Somalia,35,Nationality,NA,NA
Ethiopia,26,Nationality,NA,NA
Eritrea,23,Nationality,NA,NA
Sudan (South),20,Nationality,NA,NA
18-29,NA,Age,224,NA
30-49,NA,Age,348,NA
50-69,NA,Age,83,NA
70+,NA,Age,10,NA
Under 18,NA,Age,582,NA
Female,NA,Sex,NA,632
Male,NA,Sex,NA,612
