Nationality,More than 6 months,6 months or less
Iran,17213,3051
Iraq,14954,1687
Albania,13619,1721
Afghanistan,11653,3445
Bangladesh,6499,2538
Pakistan,5932,2116
Syria,6286,1400
India,3743,2452
Sudan,4822,1245
Eritrea,4308,1400
Turkey,2927,1562
Nigeria,3461,606
Vietnam,3022,879
China,2900,499
Sri Lanka,2277,837
Egypt,1986,667
El Salvador,2389,30
Georgia,1798,518
Honduras,1741,548
Stateless,1868,216
