Category,Nationality,Voluntary returns,Enforced returns,Refused entry at port and subsequently departed
Asylum-related,Albania,634,299,25
Asylum-related,Iraq,209,12,3
Asylum-related,India,154,18,12
Asylum-related,El Salvador,163,2,3
Asylum-related,Pakistan,98,13,1
Asylum-related,Honduras,72,0,13
Asylum-related,Vietnam,40,37,0
Asylum-related,Brazil,26,40,5
Asylum-related,Iran,61,3,3
Asylum-related,China,57,1,1
Asylum-related,Other,636,155,70
