Date,Quarter,Eritrea,Afghanistan,Syria,Iran,Sudan,Albania,Iraq,Turkey,Pakistan,Vietnam,Algeria,Angola,Armenia,Australia,Azerbaijan,Bahrain,Bangladesh,Belarus,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British overseas citizens,Bulgaria,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Congo,Congo (Democratic Republic),Croatia,Cuba,Cyprus,Cyprus (Northern part of),Czechia,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,"Gambia, The",Georgia,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Honduras,Hong Kong,India,Indonesia,Israel,Ivory Coast,Jamaica,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Malawi,Malaysia,Mauritania,Mauritius,Moldova,Mongolia,Morocco,Mozambique,Myanmar (Burma),Nepal,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Occupied Palestinian Territories,Oman,Other and unknown,Peru,Philippines,Poland,Refugee,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia and Montenegro,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,Sri Lanka,St Lucia,St Vincent and the Grenadines,Stateless,Suriname,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United States,Uzbekistan,Venezuela,Western Sahara,Yemen,Zambia,Zimbabwe,Mali,Namibia,Barbados,Macau,Maldives,Eswatini,Mexico,Panama,Dominica,Kosovo,St Kitts and Nevis,South Sudan
2001-03-31,2001 Q1,0.1282608695652174,0.7735806884219938,0.17117117117117117,0.1090566037735849,0.1986970684039088,0.0703125,0.1942532175995211,0.056261343012704176,0.05382775119617225,0.14130434782608695,0.04839968774395004,0.35185185185185186,0.13793103448275862,NA,0.22,NA,0.029545454545454545,0.014492753623188406,0.2,0.34210526315789475,NA,0.1388888888888889,NA,0.10810810810810811,0.6666666666666666,0.09433962264150944,NA,0.4225352112676056,0.08733624454148471,0.5,0.17647058823529413,0.16666666666666666,0.028351753964440174,0.12460063897763578,0.19444444444444445,0.26556016597510373,0.07602339181286549,0.058823529411764705,0.125,0.11224489795918367,NA,NA,0.25,0.03474903474903475,0.15384615384615385,NA,NA,0.18115942028985507,0.2702702702702703,0.08333333333333333,0.1952662721893491,NA,NA,0.3125,NA,NA,NA,NA,0.023297491039426525,0.00975609756097561,0.11363636363636363,0.13953488372093023,0.06329113924050633,0.23076923076923078,0.05263157894736842,0.1004566210045662,0.2571428571428571,0.16666666666666666,0.012244897959183673,0.06130268199233716,0.44594594594594594,0.21714285714285714,0.03826530612244898,NA,NA,NA,0.2,0.032520325203252036,NA,NA,NA,0.40625,0.03827751196172249,NA,NA,0.13151927437641722,NA,0.027777777777777776,0.020833333333333332,NA,0.2126865671641791,0.4,0.1,0.012618296529968454,0.2,0.02264600715137068,0.045454545454545456,0.4983922829581994,NA,NA,0.2108533554266777,NA,0.757396449704142,NA,0.07692307692307693,0.6063869290753806,0.05555555555555555,NA,0.16708967851099832,NA,NA,NA,NA,NA,0.09615384615384616,NA,0.2653061224489796,0.14285714285714285,0.1875,NA,0.08450704225352113,0.03164556962025317,0.75,NA,0.2222222222222222,0.3333333333333333,NA,0.15384615384615385,0.13043478260869565,0.0423728813559322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-06-30,2001 Q2,0.28291316526610644,0.8193208044840092,0.13043478260869565,0.1482889733840304,0.24311926605504589,0.09777777777777778,0.28536703937773455,0.05516383243467441,0.08088978766430738,0.17105263157894737,0.04781997187060478,0.5227272727272727,0.043478260869565216,NA,0.28,NA,0.048582995951417005,0.017543859649122806,NA,0.25,0.35714285714285715,0.22807017543859648,NA,0.05263157894736842,0.2222222222222222,0.16216216216216217,0.2,0.3805668016194332,0.13953488372093023,NA,0.11764705882352941,NA,0.039540816326530615,0.13043478260869565,0.14953271028037382,0.20930232558139536,0.0625,0.16666666666666666,0.14285714285714285,0.1346153846153846,0.013745704467353952,NA,NA,0.04132231404958678,0.08695652173913043,NA,0.019230769230769232,0.22426470588235295,0.26666666666666666,0.09433962264150944,0.2391304347826087,NA,NA,0.52,NA,NA,NA,NA,0.01532567049808429,0.015873015873015872,NA,0.07346938775510205,0.02857142857142857,NA,0.5,0.08294930875576037,0.18181818181818182,NA,0.02857142857142857,0.12371134020618557,0.5357142857142857,0.3855421686746988,0.047244094488188976,0.13333333333333333,0.1111111111111111,NA,NA,0.125,0.018867924528301886,NA,NA,0.21428571428571427,0.03829787234042553,NA,0.5,0.15625,NA,0.060240963855421686,NA,NA,0.24561403508771928,0.5,0.23076923076923078,0.02304147465437788,NA,0.02050473186119874,0.10810810810810811,0.49586776859504134,NA,NA,0.1608300907911803,0.2,0.7684563758389261,NA,NA,0.6775280898876405,NA,NA,0.18883415435139572,NA,NA,NA,NA,NA,0.16129032258064516,NA,0.2631578947368421,NA,0.23529411764705882,NA,0.12244897959183673,0.01486988847583643,NA,NA,NA,NA,NA,0.27450980392156865,0.09090909090909091,0.08200455580865604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-30,2001 Q3,0.38738738738738737,0.7904761904761904,0.1,0.1752767527675277,0.2727272727272727,0.09065934065934066,0.36524453694068676,0.07142857142857142,0.09090909090909091,0.30434782608695654,0.06553398058252427,0.5075187969924813,0.045454545454545456,NA,0.08333333333333333,NA,0.04081632653061224,0.03896103896103896,NA,0.25,NA,0.125,NA,NA,0.5,0.08,NA,0.49504950495049505,0.14606741573033707,NA,0.45454545454545453,0.3333333333333333,0.06646971935007386,0.12418300653594772,0.24615384615384617,0.3069544364508393,0.14035087719298245,NA,NA,0.11538461538461539,0.0106951871657754,NA,NA,0.08333333333333333,0.15384615384615385,NA,NA,0.3991031390134529,0.2857142857142857,NA,0.2558139534883721,NA,NA,0.17857142857142858,NA,NA,NA,NA,0.01620745542949757,NA,0.11764705882352941,0.07692307692307693,0.03305785123966942,0.125,0.4,0.11940298507462686,0.3333333333333333,NA,NA,0.0851063829787234,0.5,0.717391304347826,0.04395604395604396,NA,NA,NA,0.2727272727272727,0.07407407407407407,0.03125,NA,NA,0.23255813953488372,0.05319148936170213,NA,NA,0.14869888475836432,NA,0.2028301886792453,0.2,NA,0.2835820895522388,NA,0.045454545454545456,0.01948051948051948,NA,0.07110091743119266,0.09701492537313433,0.5652173913043478,NA,NA,0.17257499026100506,0.2,0.5870870870870871,NA,NA,0.5048439181916039,NA,NA,0.21630804077010193,NA,NA,NA,0.5,0.3333333333333333,0.25,NA,0.1935483870967742,NA,NA,NA,0.14835164835164835,0.015625,NA,0.5,NA,NA,NA,0.14893617021276595,0.14285714285714285,0.09610983981693363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-31,2001 Q4,0.39473684210526316,0.8045882834903728,0.2692307692307692,0.2161594963273872,0.2222222222222222,0.20477815699658702,0.45481049562682213,0.07180500658761528,0.13513513513513514,0.27692307692307694,0.052307692307692305,0.5563139931740614,0.1282051282051282,0.5,0.06060606060606061,NA,0.15714285714285714,0.04081632653061224,0.16666666666666666,0.13043478260869565,NA,0.13636363636363635,NA,0.2,0.16666666666666666,0.07142857142857142,NA,0.43209876543209874,0.1968503937007874,NA,0.5333333333333333,NA,0.05639097744360902,0.125,0.2721518987341772,0.3117408906882591,0.18309859154929578,NA,0.25,0.14285714285714285,0.011494252873563218,NA,NA,0.03636363636363636,NA,NA,NA,0.39622641509433965,0.26666666666666666,0.029411764705882353,0.21052631578947367,NA,NA,0.24,NA,NA,NA,NA,0.0330188679245283,NA,NA,0.0875,0.02857142857142857,0.2222222222222222,0.08333333333333333,0.14173228346456693,0.5,NA,0.04,0.09090909090909091,0.6041666666666666,0.7407407407407407,0.07058823529411765,NA,NA,NA,NA,0.26605504587155965,NA,0.14285714285714285,NA,0.2857142857142857,0.040697674418604654,NA,NA,0.06312292358803986,NA,0.3669064748201439,NA,NA,0.3157894736842105,0.16666666666666666,NA,0.024,NA,0.04054054054054054,0.06306306306306306,0.6397849462365591,NA,NA,0.3406848520023215,NA,0.16993464052287582,NA,NA,0.5378751786565031,0.058823529411764705,NA,0.2443661971830986,NA,NA,NA,NA,NA,0.35294117647058826,NA,0.2,NA,0.1111111111111111,NA,0.23,0.06711409395973154,NA,NA,NA,NA,NA,0.21212121212121213,NA,0.09022556390977443,NA,NA,NA,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-31,2002 Q1,0.415929203539823,0.7992113046335853,0.16216216216216217,0.17729083665338646,0.24193548387096775,0.26031746031746034,0.6500963391136801,0.11805026656511805,0.09698558322411534,0.46842105263157896,0.055900621118012424,0.5514511873350924,0.1875,NA,0.09302325581395349,NA,0.09774436090225563,0.20408163265306123,NA,0.10344827586206896,0.125,0.12,NA,0.125,0.2857142857142857,NA,0.25,0.5204081632653061,0.1897810218978102,NA,0.4,NA,0.0891891891891892,0.17721518987341772,0.19607843137254902,0.2711864406779661,0.058823529411764705,NA,0.1,0.21739130434782608,0.05,NA,NA,0.11764705882352941,NA,NA,NA,0.43137254901960786,0.06666666666666667,0.1702127659574468,0.14285714285714285,NA,NA,0.275,NA,NA,NA,NA,0.022847100175746926,NA,0.06666666666666667,0.12903225806451613,0.04861111111111111,NA,NA,0.13934426229508196,0.3,NA,NA,0.03333333333333333,0.6590909090909091,0.8928571428571429,NA,0.18181818181818182,NA,NA,NA,0.1686046511627907,0.038461538461538464,0.1111111111111111,NA,0.3448275862068966,0.03763440860215054,NA,NA,0.11598746081504702,NA,0.3229166666666667,0.3333333333333333,NA,0.17391304347826086,NA,NA,0.009950248756218905,0.2,0.04437869822485207,0.06153846153846154,0.654639175257732,NA,0.2,0.32608695652173914,NA,0.16634799235181644,NA,0.038461538461538464,0.6545660805445264,NA,NA,0.20601589103291715,NA,NA,NA,NA,NA,0.21428571428571427,NA,0.19230769230769232,NA,NA,NA,0.22110552763819097,0.04597701149425287,NA,NA,NA,NA,NA,0.21739130434782608,0.3,0.2263779527559055,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-30,2002 Q2,0.4036697247706422,0.7931192660550459,0.2777777777777778,0.2288,0.2336448598130841,0.20253164556962025,0.7713283989092325,0.09101516919486581,0.0734632683658171,0.2331288343558282,0.044673539518900345,0.5375375375375375,0.2,NA,NA,NA,0.27325581395348836,0.07692307692307693,NA,0.14285714285714285,0.058823529411764705,0.11764705882352941,NA,0.08333333333333333,0.2857142857142857,NA,NA,0.506578947368421,0.140625,NA,0.5,0.6,0.05149700598802395,0.09027777777777778,0.16058394160583941,0.2345679012345679,0.06666666666666667,NA,0.2222222222222222,0.2,0.0035335689045936395,0.5,NA,0.08888888888888889,0.16666666666666666,NA,0.14285714285714285,0.32666666666666666,NA,0.16129032258064516,0.1,NA,NA,0.21666666666666667,NA,NA,NA,NA,0.02857142857142857,NA,NA,0.1794871794871795,0.022026431718061675,NA,NA,0.13953488372093023,0.5,0.16666666666666666,0.034482758620689655,0.10526315789473684,0.5862068965517241,0.7058823529411765,NA,0.08333333333333333,NA,NA,0.25,0.15706806282722513,0.05714285714285714,NA,NA,0.4,0.018292682926829267,NA,NA,0.07317073170731707,NA,0.2711864406779661,0.125,NA,0.21052631578947367,NA,NA,0.004761904761904762,NA,0.058823529411764705,0.1411764705882353,0.6722222222222223,NA,0.14285714285714285,0.27294117647058824,NA,0.15217391304347827,NA,0.022727272727272728,0.6364261168384879,0.020833333333333332,NA,0.11044520547945205,NA,NA,NA,NA,NA,NA,NA,0.13043478260869565,NA,NA,NA,0.2122905027932961,0.011764705882352941,NA,NA,0.3333333333333333,NA,NA,0.32075471698113206,0.25,0.3552833078101072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-09-30,2002 Q3,0.2888086642599278,0.3102665910380034,0.4,0.20364741641337386,0.14788732394366197,0.2591549295774648,0.7843010055141096,0.08745247148288973,0.07401315789473684,0.13020833333333334,0.04887218045112782,0.5888157894736842,0.058823529411764705,NA,0.17142857142857143,NA,0.3072289156626506,0.07142857142857142,NA,0.2,NA,0.125,NA,NA,0.25,NA,NA,0.4883720930232558,0.1171875,NA,0.2857142857142857,NA,0.05853658536585366,0.15384615384615385,0.128,0.22365591397849463,0.13333333333333333,0.125,NA,0.3,NA,NA,NA,0.11666666666666667,0.05,NA,NA,0.2682926829268293,0.025,0.16216216216216217,0.06666666666666667,NA,NA,0.2711864406779661,NA,NA,NA,0.5,0.016293279022403257,NA,NA,0.13157894736842105,0.019230769230769232,NA,NA,0.23076923076923078,0.25,NA,0.022222222222222223,0.13333333333333333,0.4188034188034188,0.6744186046511628,0.010638297872340425,0.06896551724137931,NA,NA,0.5,0.1746987951807229,0.05405405405405406,NA,NA,0.25,0.025974025974025976,NA,NA,0.08870967741935484,NA,0.4,0.21739130434782608,NA,0.058823529411764705,0.2,NA,0.003937007874015748,NA,0.05067567567567568,0.11594202898550725,0.5333333333333333,NA,NA,0.3340857787810384,NA,0.13664596273291926,NA,NA,0.589064261555806,NA,NA,0.09523809523809523,NA,NA,NA,NA,NA,0.23076923076923078,NA,NA,NA,0.25,0.6666666666666666,0.3092105263157895,0.031914893617021274,NA,NA,NA,NA,NA,0.3076923076923077,NA,0.4664981036662453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-12-31,2002 Q4,0.23255813953488372,0.14357682619647355,0.19047619047619047,0.13107511045655376,0.17894736842105263,0.25842696629213485,0.7718579234972678,0.08921933085501858,0.08921161825726141,0.05027932960893855,0.044,0.6042944785276073,0.1111111111111111,NA,0.02631578947368421,NA,0.4228187919463087,0.022727272727272728,NA,0.25,0.07142857142857142,0.16666666666666666,NA,NA,NA,NA,NA,0.48484848484848486,0.1732283464566929,NA,0.25,NA,0.0763239875389408,0.10344827586206896,0.1592920353982301,0.1643835616438356,0.23076923076923078,NA,NA,0.09090909090909091,0.017391304347826087,NA,NA,0.04285714285714286,NA,NA,NA,0.25510204081632654,0.07142857142857142,0.1282051282051282,0.09090909090909091,NA,NA,0.30612244897959184,NA,0.5,NA,NA,0.01775147928994083,NA,0.14285714285714285,0.03571428571428571,0.02120141342756184,NA,NA,0.1724137931034483,0.4,NA,0.022222222222222223,NA,0.13970588235294118,0.14814814814814814,NA,0.1111111111111111,NA,NA,NA,0.14606741573033707,0.05,0.2,NA,0.2857142857142857,0.07792207792207792,NA,NA,0.08203125,NA,0.30952380952380953,0.04411764705882353,NA,0.17647058823529413,NA,0.2,NA,NA,0.10357142857142858,0.1095890410958904,0.21678321678321677,NA,NA,0.25862068965517243,NA,0.1864406779661017,NA,0.043478260869565216,0.45558739255014324,NA,NA,0.08453237410071943,NA,NA,NA,NA,NA,0.4,NA,0.14285714285714285,NA,0.25,NA,0.20863309352517986,0.046511627906976744,NA,NA,NA,NA,NA,0.28,0.5,0.3938223938223938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-03-31,2003 Q1,0.2479108635097493,0.1702296120348377,0.15384615384615385,0.10877626699629171,0.13450292397660818,0.2990936555891239,0.7348459194039959,0.07456724367509987,0.05565529622980251,0.025,0.0641025641025641,0.5790754257907542,0.1111111111111111,NA,0.05357142857142857,NA,0.38492063492063494,0.06060606060606061,NA,0.15384615384615385,0.09090909090909091,0.125,NA,NA,0.25,0.09090909090909091,0.5,0.4642857142857143,0.13765182186234817,NA,0.3333333333333333,NA,0.046153846153846156,0.09345794392523364,0.23717948717948717,0.15438108484005564,NA,NA,NA,NA,NA,NA,NA,0.061855670103092786,0.21428571428571427,NA,0.14285714285714285,0.21585903083700442,0.14814814814814814,0.06451612903225806,0.039473684210526314,NA,NA,0.21568627450980393,NA,NA,NA,NA,0.01859504132231405,NA,NA,0.08372093023255814,0.020930232558139535,NA,NA,0.1792452830188679,0.42857142857142855,0.16666666666666666,NA,0.03278688524590164,0.07575757575757576,0.07462686567164178,0.13513513513513514,0.022727272727272728,NA,NA,NA,0.14682539682539683,0.05405405405405406,0.3333333333333333,NA,0.13333333333333333,0.03418803418803419,NA,NA,0.08130081300813008,NA,0.40350877192982454,0.053061224489795916,NA,0.25252525252525254,0.5,NA,0.05555555555555555,NA,0.07523510971786834,0.07954545454545454,0.24043715846994534,NA,NA,0.2868741542625169,NA,0.12267657992565056,NA,0.2,0.41728395061728396,NA,NA,0.11228070175438597,NA,NA,0.3333333333333333,NA,NA,0.29411764705882354,NA,0.30434782608695654,NA,NA,0.16666666666666666,0.18374558303886926,0.056179775280898875,NA,NA,NA,NA,NA,0.34375,0.3333333333333333,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-06-30,2003 Q2,0.17180616740088106,0.10737179487179487,0.07692307692307693,0.07718120805369127,0.16071428571428573,0.14659685863874344,0.019662921348314606,0.06735751295336788,0.059845559845559844,0.29376854599406527,0.043243243243243246,0.35874439461883406,0.6,NA,0.09090909090909091,NA,0.36099585062240663,0.02857142857142857,NA,0.22727272727272727,0.08,0.03571428571428571,NA,0.1,NA,NA,NA,0.45751633986928103,0.09009009009009009,NA,0.125,NA,0.041820418204182044,0.019801980198019802,0.13333333333333333,0.15233415233415235,NA,0.3333333333333333,NA,NA,0.029411764705882353,NA,NA,0.08620689655172414,NA,NA,NA,0.14556962025316456,0.029411764705882353,0.04285714285714286,0.06593406593406594,NA,NA,0.2826086956521739,NA,NA,NA,NA,0.014326647564469915,NA,NA,0.08860759493670886,0.006329113924050633,NA,NA,0.16494845360824742,0.29411764705882354,NA,NA,0.08860759493670886,0.13333333333333333,0.14285714285714285,0.04,NA,NA,NA,NA,0.05263157894736842,NA,NA,NA,0.24242424242424243,NA,NA,NA,0.047619047619047616,NA,0.09523809523809523,0.04,NA,0.125,0.25,NA,0.022727272727272728,NA,0.05625,0.03508771929824561,0.2,NA,NA,0.15430861723446893,NA,0.11242603550295859,NA,NA,0.409688013136289,0.05194805194805195,NA,0.04573804573804574,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.3333333333333333,0.25,0.28415300546448086,0.01652892561983471,NA,NA,NA,NA,NA,0.23529411764705882,0.16666666666666666,0.24737762237762237,NA,NA,NA,NA,NA,NA,NA,0.6666666666666666,NA,NA,NA,NA
