Nationality,More than 6 months,6 months or less
Iran,9013,4085
Afghanistan,5962,5811
Albania,7780,1406
Iraq,6941,2221
Pakistan,4387,3054
Bangladesh,5050,1904
India,4288,2158
Turkey,2994,2598
Syria,2096,2360
Eritrea,1842,2483
Sudan,1943,2148
Sri Lanka,1882,1076
Vietnam,1459,1121
Nigeria,1803,680
China,1494,878
Egypt,1693,643
Brazil,1130,1072
Georgia,1473,691
Nepal,1297,384
Honduras,1289,198
