Nationality,Under 18,18+
Afghanistan,894,692
Egypt,41,15
Eritrea,195,162
Ethiopia,35,13
Iran,364,139
Iraq,111,53
South Sudan,29,20
Sudan,281,202
Syria,79,66
Vietnam,33,64
