Nationality,Total
Albanian,858
Eritrean,738
Sudanese,591
UK,394
Romanian,347
Vietnamese,265
Chinese,245
Nepalese,137
Indian,111
Iranian,109
Ethiopian,96
Syrian,92
Iraqi,68
Afghan,57
Egyptian,57
Brazilian,53
Somali,51
Thai,50
Bulgarian,46
Polish,44
