First responder type,Other nationality,UK national
Gangmasters and Labour Abuse Authority GLAA,13,0
Home Office - Immigration Enforcement IE,2981,2
Home Office - UK Border Force UKBF,241,2
Home Office - UK Visas and Immigration UKVI,5217,4
Local Authority,1352,2598
NGO and third sector,788,100
National Crime Agency NCA,11,5
Police,1913,2072
