Nationality,Total
Albanian,764
Eritrean,580
Sudanese,538
UK,393
Chinese,326
Vietnamese,295
Romanian,294
Nepalese,139
Iranian,88
Indian,87
Iraqi,85
Syrian,85
Brazilian,72
Ethiopian,67
Thai,66
Afghan,63
Somali,58
Egyptian,56
Pakistani,45
Polish,44
