Nationality,Total
Albanian,929
Eritrean,778
Sudanese,505
UK,415
Romanian,350
Chinese,239
Vietnamese,173
Nepalese,138
Ethiopian,108
Iranian,104
Syrian,97
Indian,89
Unknown,74
Iraqi,57
Egyptian,51
Afghan,49
Bulgarian,43
Thai,43
Brazilian,37
Bangladeshi,36
