First responder type,Other nationality,UK national
Gangmasters and Labour Abuse Authority GLAA,13,0
Home Office - Immigration Enforcement IE,2758,2
Home Office - UK Border Force UKBF,236,6
Home Office - UK Visas and Immigration UKVI,5212,4
Local Authority,1331,2624
NGO and third sector,791,87
National Crime Agency NCA,10,3
Police,1877,2069
